Level,Name,Code,Parent
Barangay,JACQUEZ,JZQ,SAN JOSE
Barangay,JUSTINIANA EDERA,JAA,SAN JOSE
Barangay,LUNA,LAN,SAN JOSE
Barangay,MAHAYAHAY,MYY,SAN JOSE
Barangay,MATINGBE,MEN,SAN JOSE
Barangay,SAN JOSE (POB.),SEJ,SAN JOSE
Barangay,SAN JUAN,SNJ,SAN JOSE
Barangay,SANTA CRUZ,SZA,SAN JOSE
Barangay,WILSON,WNS,SAN JOSE
Municipality,TUBAJON,TBA,DINAGAT ISLANDS
Barangay,DIAZ (ROMUALDEZ),DZA,TUBAJON
Barangay,IMELDA,IAL,TUBAJON
Barangay,MABINI,MII,TUBAJON
Barangay,MALINAO,MOI,TUBAJON
Barangay,NAVARRO,NOA,TUBAJON
Barangay,ROXAS,RSX,TUBAJON
Barangay,SAN ROQUE (POB.),SEO,TUBAJON
Barangay,SAN VICENTE (POB.),SEC,TUBAJON
Barangay,SANTA CRUZ (POB.),SZA,TUBAJON
Province,SURIGAO DEL NORTE,SRU,Region XIII
Municipality,ALEGRIA,LGG,SURIGAO DEL NORTE
Barangay,ALIPAO,AOP,ALEGRIA
Barangay,ANAHAW,AWH,ALEGRIA
Barangay,BUDLINGIN,BNI,ALEGRIA
Barangay,CAMP EDUARD (GEOTINA),CDD,ALEGRIA
Barangay,FERLDA,FAL,ALEGRIA
Barangay,GAMUTON,GNU,ALEGRIA
Barangay,JULIO OUANO (POB.),JOO,ALEGRIA
Barangay,OMBONG,OGO,ALEGRIA
Barangay,POBLACION (ALEGRIA),PNA,ALEGRIA
Barangay,PONGTUD,PDG,ALEGRIA
Barangay,SAN JUAN,SNJ,ALEGRIA
Barangay,SAN PEDRO,SOE,ALEGRIA
Municipality,BACUAG,BCU,SURIGAO DEL NORTE
Barangay,CABUGAO,COU,BACUAG
Barangay,CAMBUAYON,CNU,BACUAG
Barangay,CAMPO,COM,BACUAG
Barangay,DUGSANGON,DNA,BACUAG
Barangay,PAUTAO,POT,BACUAG
Barangay,PAYAPAG,PGA,BACUAG
Barangay,POBLACION,PNA,BACUAG
Barangay,PUNGTOD,PDG,BACUAG
Barangay,SANTO ROSARIO,SOO,BACUAG
Municipality,BURGOS,BRG,SURIGAO DEL NORTE
Barangay,BAYBAY,BYB,BURGOS
Barangay,BITAUG,BGA,BURGOS
Barangay,MATIN-AO,MOI,BURGOS
Barangay,POBLACION 1,P1X,BURGOS
Barangay,POBLACION 2,P2X,BURGOS
Barangay,SAN MATEO,SOA,BURGOS
Municipality,CLAVER,CLV,SURIGAO DEL NORTE
Barangay,BAGAKAY (POB. WEST),BYA,CLAVER
Barangay,CABUGO,COU,CLAVER
Barangay,CAGDIANAO,COI,CLAVER
Barangay,DAYWAN,DNW,CLAVER
Barangay,HAYANGGABON,HNG,CLAVER
Barangay,LADGARON (POB.),LNA,CLAVER
Barangay,LAPINIGAN,LNN,CLAVER
Barangay,MAGALLANES,MSL,CLAVER
Barangay,PANATAO,POA,CLAVER
Barangay,SAPA,SAP,CLAVER
Barangay,TAGANITO,TON,CLAVER
Barangay,TAYAGA (POB. EAST),TAA,CLAVER
Barangay,URBIZTONDO,UOT,CLAVER
Barangay,WANGKE,WEG,CLAVER
Municipality,DAPA,DPA,SURIGAO DEL NORTE
Barangay,BAGAKAY,BYA,DAPA
Barangay,BARANGAY 1 (POB.),B1X,DAPA
Barangay,BARANGAY 2 (POB.),B2X,DAPA
Barangay,BARANGAY 3 (POB.),B3X,DAPA
Barangay,BARANGAY 4 (POB.),B4X,DAPA
Barangay,BARANGAY 5 (POB.),B5X,DAPA
Barangay,BARANGAY 6 (POB.),B6X,DAPA
Barangay,BARANGAY 7 (POB.),B7X,DAPA
Barangay,BARANGAY 8 (POB.),B8X,DAPA
Barangay,BARANGAY 9 (POB.),B9X,DAPA
Barangay,BARANGAY 10 (POB.),B0X,DAPA
Barangay,BARANGAY 11 (POB.),B11,DAPA
Barangay,BARANGAY 12 (POB.),B21,DAPA
Barangay,BARANGAY 13 (POB.),B31,DAPA
Barangay,BUENAVISTA,BAV,DAPA
Barangay,CABAWA,CAA,DAPA
Barangay,CAMBAS-AC,CCA,DAPA
Barangay,CONSOLACION,CNL,DAPA
Barangay,CORREGIDOR,CRG,DAPA
Barangay,DAGOHOY,DYO,DAPA
Barangay,DON PAULINO,DOU,DAPA
Barangay,JUBANG,JGA,DAPA
Barangay,MONTSERRAT,MTE,DAPA
Barangay,OSMEÃ‘A,OAM,DAPA
Barangay,SAN CARLOS,SSA,DAPA
Barangay,SAN MIGUEL,SLI,DAPA
Barangay,SANTA FE,SET,DAPA
Barangay,SANTA FELOMINA,SAE,DAPA
Barangay,UNION,UNI,DAPA
Municipality,DEL CARMEN,DL ,SURIGAO DEL NORTE
Barangay,ANTIPOLO,AOP,DEL CARMEN
Barangay,BAGAKAY (ALBURO),BYA,DEL CARMEN
Barangay,BITOON,BNO,DEL CARMEN
Barangay,CABUGAO,COU,DEL CARMEN
Barangay,CANCOHOY,CYO,DEL CARMEN
Barangay,CAUB,CBU,DEL CARMEN
Barangay,DEL CARMEN (POB.),DNA,DEL CARMEN
Barangay,DOMOYOG,DGO,DEL CARMEN
Barangay,ESPERANZA,EAR,DEL CARMEN
Barangay,HALIAN,HNI,DEL CARMEN
Barangay,JAMOYAON,JNY,DEL CARMEN
Barangay,KATIPUNAN,KNP,DEL CARMEN
Barangay,LOBOGON,LNO,DEL CARMEN
Barangay,MABUHAY,MYU,DEL CARMEN
Barangay,MAHAYAHAY,MYY,DEL CARMEN
Barangay,QUEZON,QNZ,DEL CARMEN
Barangay,SAN FERNANDO,SOR,DEL CARMEN
Barangay,SAN JOSE (POB.),SEJ,DEL CARMEN
Barangay,SAYAK,SKY,DEL CARMEN
Barangay,TUBORAN,TNO,DEL CARMEN
Municipality,GENERAL LUNA,GNE,SURIGAO DEL NORTE
Barangay,ANAJAWAN,ANA,GENERAL LUNA
Barangay,CABITOONAN,CNO,GENERAL LUNA
Barangay,CATANGNAN,CNN,GENERAL LUNA
Barangay,CONSUELO,COU,GENERAL LUNA
Barangay,CORAZON,CNA,GENERAL LUNA
Barangay,DAKU,DUK,GENERAL LUNA
Barangay,LA JANUZA,LAN,GENERAL LUNA
Barangay,LIBERTAD,LDR,GENERAL LUNA
Barangay,MAGSAYSAY,MYA,GENERAL LUNA
Barangay,MALINAO,MOI,GENERAL LUNA
Barangay,POBLACION I (PUROK I),PIC,GENERAL LUNA
Barangay,POBLACION II (PUROK II),PI1,GENERAL LUNA
Barangay,POBLACION III (PUROK III),PII,GENERAL LUNA
Barangay,POBLACION IV (PUROK IV),PVC,GENERAL LUNA
Barangay,POBLACION V (PUROK V),PV1,GENERAL LUNA
Barangay,SANTA CRUZ,SZA,GENERAL LUNA
Barangay,SANTA FE,SET,GENERAL LUNA
Barangay,SUYANGAN,SNN,GENERAL LUNA
Barangay,TAWIN-TAWIN,TNT,GENERAL LUNA
Municipality,GIGAQUIT,GGA,SURIGAO DEL NORTE
Barangay,ALAMBIQUE (POB.),AEB,GIGAQUIT
Barangay,ANIBONGAN,ANO,GIGAQUIT
Barangay,CAM-BOAYON,CNO,GIGAQUIT
Barangay,CAMAM-ONAN,CNM,GIGAQUIT
Barangay,IPIL (POB.),ILI,GIGAQUIT
Barangay,LAHI,LIH,GIGAQUIT
Barangay,MAHANUB,MBA,GIGAQUIT
Barangay,PONIENTE,PEE,GIGAQUIT
Barangay,SAN ANTONIO (BONOT),SOT,GIGAQUIT
Barangay,SAN ISIDRO,SOS,GIGAQUIT
Barangay,SICO-SICO,SO1,GIGAQUIT
Barangay,VILLAFLOR,VRA,GIGAQUIT
Barangay,VILLAFRANCA,VAF,GIGAQUIT
Municipality,MAINIT,MNN,SURIGAO DEL NORTE
Barangay,BINGA,BAN,MAINIT
Barangay,BOBONA-ON,BNN,MAINIT
Barangay,CANTUGAS,CSU,MAINIT
Barangay,DAYANO,DOA,MAINIT
Barangay,MABINI,MII,MAINIT
Barangay,MAGPAYANG,MGA,MAINIT
Barangay,MAGSAYSAY (POB.),MYA,MAINIT
Barangay,MANSAYAO,MOA,MAINIT
Barangay,MARAYAG,MG1,MAINIT
Barangay,MATIN-AO,MOI,MAINIT
Barangay,PACO,POC,MAINIT
Barangay,QUEZON (POB.),QNZ,MAINIT
Barangay,ROXAS,RSX,MAINIT
Barangay,SAN FRANCISCO,SON,MAINIT
Barangay,SAN ISIDRO,SOS,MAINIT
Barangay,SAN JOSE,SEJ,MAINIT
Barangay,SIANA,SAA,MAINIT
Barangay,SILOP,SPL,MAINIT
Barangay,TAGBUYAWAN,TNY,MAINIT
Barangay,TAPI-AN,TNI,MAINIT
Barangay,TOLINGON,TNN,MAINIT
Municipality,MALIMONO,MLI,SURIGAO DEL NORTE
Barangay,BUNYASAN,BNA,MALIMONO
Barangay,CAGTINAE,CEI,MALIMONO
Barangay,CAN-AGA,CAA,MALIMONO
Barangay,CANSAYONG,CGA,MALIMONO
Barangay,CANTAPOY,CYA,MALIMONO
Barangay,CAYAWAN,CNA,MALIMONO
Barangay,DORO (BINOCARAN),DOR,MALIMONO
Barangay,HANAGDONG,HGG,MALIMONO
Barangay,KARIHATAG,KGH,MALIMONO
Barangay,MASGAD,MDG,MALIMONO
Barangay,PILI,PIL,MALIMONO
Barangay,SAN ISIDRO (POB.),SOS,MALIMONO
Barangay,TINAGO,TOA,MALIMONO
Barangay,VILLARIZA,VAA,MALIMONO
Municipality,PILAR,PLA,SURIGAO DEL NORTE
Barangay,ASINAN (POB.),ANN,PILAR
Barangay,CARIDAD,CDI,PILAR
Barangay,CENTRO (POB.),COT,PILAR
Barangay,CONSOLACION,CNL,PILAR
Barangay,DATU,DUT,PILAR
Barangay,DAYAOHAY,DYO,PILAR
Barangay,JABOY,JYB,PILAR
Barangay,KATIPUNAN,KNP,PILAR
Barangay,MAASIN,MNS,PILAR
Barangay,MABINI,MII,PILAR
Barangay,MABUHAY,MYU,PILAR
Barangay,PILARING (POB.),PGR,PILAR
Barangay,PUNTA (POB.),PAN,PILAR
Barangay,SALVACION,SNA,PILAR
Barangay,SAN ROQUE,SEO,PILAR
Municipality,PLACER,PLC,SURIGAO DEL NORTE
Barangay,AMOSLOG,AGS,PLACER
Barangay,ANISLAGAN,ANL,PLACER
Barangay,BAD-AS,BSD,PLACER
Barangay,BOYONGAN,BNN,PLACER
Barangay,BUGAS-BUGAS,BSB,PLACER
Barangay,CENTRAL (POB.),CLT,PLACER
Barangay,ELLAPERAL (NONOK),ELP,PLACER
Barangay,IPIL (POB.),ILI,PLACER
Barangay,LAKANDULA,LAN,PLACER
Barangay,MABINI,MII,PLACER
Barangay,MACALAYA,MAL,PLACER
Barangay,MAGSAYSAY (POB.),MYA,PLACER
Barangay,MAGUPANGE,MEP,PLACER
Barangay,PANANAY-AN,PNN,PLACER
Barangay,PANHUTONGAN,PNT,PLACER
Barangay,SAN ISIDRO,SOS,PLACER
Barangay,SANI-SANI,SIS,PLACER
Barangay,SANTA CRUZ,SZA,PLACER
Barangay,SUYOC,SCY,PLACER
Barangay,TAGBONGABONG,TGG,PLACER
Municipality,SAN BENITO,SN ,SURIGAO DEL NORTE
Barangay,BONGDO,BOG,SAN BENITO
Barangay,MARIBOJOC,MCB,SAN BENITO
Barangay,NUEVO CAMPO,NOC,SAN BENITO
Barangay,SAN JUAN,SNJ,SAN BENITO
Barangay,SANTA CRUZ (POB.),SZA,SAN BENITO
Barangay,TALISAY (POB.),TYI,SAN BENITO
Municipality,SAN FRANCISCO (ANAO-AON),SN1,SURIGAO DEL NORTE
Barangay,AMONTAY,AYN,SAN FRANCISCO (ANAO-AON)
