Level,Name,Code,Parent
Barangay,SAN ROQUE,SRN,KITCHARAO
Barangay,SANGAY,SAN,KITCHARAO
Barangay,SONGKOY,SON,KITCHARAO
Municipality,LAS NIEVES,LNS,AGUSAN DEL NORTE
Barangay,AMBACON,AMB,LAS NIEVES
Barangay,BALUNGAGAN,BAL,LAS NIEVES
Barangay,BONIFACIO,BON,LAS NIEVES
Barangay,CASIKLAN,CAS,LAS NIEVES
Barangay,CONSORCIA,CON,LAS NIEVES
Barangay,DURIAN,DUR,LAS NIEVES
Barangay,EDUARDO G. MONTILLA (CAMBOAYON),EGU,LAS NIEVES
Barangay,IBUAN,IBU,LAS NIEVES
Barangay,KATIPUNAN,KAT,LAS NIEVES
Barangay,LINGAYAO,LIN,LAS NIEVES
Barangay,MALICATO,MAL,LAS NIEVES
Barangay,MANINGALAO,MAN,LAS NIEVES
Barangay,MARCOS CALO,MCR,LAS NIEVES
Barangay,MAT-I,MAT,LAS NIEVES
Barangay,PINANA-AN,PIN,LAS NIEVES
Barangay,POBLACION,POB,LAS NIEVES
Barangay,ROSARIO,ROS,LAS NIEVES
Barangay,SAN ISIDRO,SIN,LAS NIEVES
Barangay,SAN ROQUE,SRN,LAS NIEVES
Barangay,TINUCORAN,TIN,LAS NIEVES
Municipality,MAGALLANES,MAG,AGUSAN DEL NORTE
Barangay,BUHANG,BUH,MAGALLANES
Barangay,CALOC-AN,CAL,MAGALLANES
Barangay,GUIASAN,GUI,MAGALLANES
Barangay,MARCOS,MAR,MAGALLANES
Barangay,POBLACION,POB,MAGALLANES
Barangay,SANTO NIÃ‘O,SNN,MAGALLANES
Barangay,SANTO ROSARIO,SRN,MAGALLANES
Barangay,TAOD-OY,TAO,MAGALLANES
Municipality,NASIPIT,NAS,AGUSAN DEL NORTE
Barangay,ACLAN,ACL,NASIPIT
Barangay,AMONTAY,AMO,NASIPIT
Barangay,ATA-ATAHON,ATA,NASIPIT
Barangay,BARANGAY 1 (POB.),BA1,NASIPIT
Barangay,BARANGAY 2 (POB.),BA2,NASIPIT
Barangay,BARANGAY 3 (POB.),BA3,NASIPIT
Barangay,BARANGAY 4 (POB.),BA4,NASIPIT
Barangay,BARANGAY 5 (POB.),BA5,NASIPIT
Barangay,BARANGAY 6 (POB.),BA6,NASIPIT
Barangay,BARANGAY 7 (POB.),BA7,NASIPIT
Barangay,CAMAGONG,CAM,NASIPIT
Barangay,CUBI-CUBI,CUB,NASIPIT
Barangay,CULIT,CUL,NASIPIT
Barangay,JAGUIMITAN,JAG,NASIPIT
Barangay,KINABJANGAN,KIN,NASIPIT
Barangay,PUNTA,PUN,NASIPIT
Barangay,SANTA ANA,SAN,NASIPIT
Barangay,TALISAY,TAL,NASIPIT
Barangay,TRIANGULO,TRI,NASIPIT
Municipality,REMEDIOS T. ROMUALDEZ,RTM,AGUSAN DEL NORTE
Barangay,BALANGBALANG,BAL,REMEDIOS T. ROMUALDEZ
Barangay,BASILISA,BAS,REMEDIOS T. ROMUALDEZ
Barangay,HUMILOG,HUM,REMEDIOS T. ROMUALDEZ
Barangay,PANAYTAYON,PAN,REMEDIOS T. ROMUALDEZ
Barangay,POBLACION I (AGAY),PIB,REMEDIOS T. ROMUALDEZ
Barangay,POBLACION II,PI1,REMEDIOS T. ROMUALDEZ
Barangay,SAN ANTONIO,SAN,REMEDIOS T. ROMUALDEZ
Barangay,TAGBONGABONG,TAG,REMEDIOS T. ROMUALDEZ
Municipality,SANTIAGO,SAN,AGUSAN DEL NORTE
Barangay,CURVA,CUR,SANTIAGO
Barangay,ESTANISLAO MORGADO,EMT,SANTIAGO
Barangay,JAGUPIT,JAG,SANTIAGO
Barangay,LA PAZ,LPX,SANTIAGO
Barangay,PANGAYLAN-IP,PAN,SANTIAGO
Barangay,POBLACION I,PIB,SANTIAGO
Barangay,POBLACION II,PI1,SANTIAGO
Barangay,SAN ISIDRO,SIN,SANTIAGO
Barangay,TAGBUYACAN,TAG,SANTIAGO
Municipality,TUBAY,TUB,AGUSAN DEL NORTE
Barangay,BINUANGAN,BIN,TUBAY
Barangay,CABAYAWA,CAB,TUBAY
Barangay,DOÃ‘A ROSARIO,DRA,TUBAY
Barangay,DOÃ‘A TELESFORA,DTA,TUBAY
Barangay,LA FRATERNIDAD,LFX,TUBAY
Barangay,LAWIGAN,LAW,TUBAY
Barangay,POBLACION 1,PO1,TUBAY
Barangay,POBLACION 2,PO2,TUBAY
Barangay,SANTA ANA,SAN,TUBAY
Barangay,TAGMAMARKAY,TAG,TUBAY
Barangay,TAGPANGAHOY,TA1,TUBAY
Barangay,TINIGBASAN,TIN,TUBAY
Barangay,VICTORY,VIC,TUBAY
Province,AGUSAN DEL SUR,AD1,Region XIII
Municipality,BAYUGAN CITY,BCY,AGUSAN DEL SUR
Barangay,BERSEBA,BER,BAYUGAN CITY
Barangay,BUCAC,BUC,BAYUGAN CITY
Barangay,CAGBAS,CAG,BAYUGAN CITY
Barangay,CALAITAN,CAL,BAYUGAN CITY
Barangay,CANAYUGAN,CAN,BAYUGAN CITY
Barangay,CHARITO,CHA,BAYUGAN CITY
Barangay,CLARO CORTEZ,CCA,BAYUGAN CITY
Barangay,FILI,FIL,BAYUGAN CITY
Barangay,GAMAO,GAM,BAYUGAN CITY
Barangay,GETSEMANE,GET,BAYUGAN CITY
Barangay,GRACE ESTATE,GEA,BAYUGAN CITY
Barangay,HAMOGAWAY,HAM,BAYUGAN CITY
Barangay,KATIPUNAN,KAT,BAYUGAN CITY
Barangay,MABUHAY,MAB,BAYUGAN CITY
Barangay,MAGKIANGKANG,MAG,BAYUGAN CITY
Barangay,MAHAYAG,MAH,BAYUGAN CITY
Barangay,MARCELINA,MAR,BAYUGAN CITY
Barangay,MAYGATASAN,MAY,BAYUGAN CITY
Barangay,MONTIVESTA,MON,BAYUGAN CITY
Barangay,MT. ARARAT,MAX,BAYUGAN CITY
Barangay,MT. CARMEL,MCX,BAYUGAN CITY
Barangay,MT. OLIVE,MOX,BAYUGAN CITY
Barangay,NEW SALEM,NSW,BAYUGAN CITY
Barangay,NOLI,NOL,BAYUGAN CITY
Barangay,OSMEÃ‘A,OSM,BAYUGAN CITY
Barangay,PANAYTAY,PAN,BAYUGAN CITY
Barangay,PINAGALAAN,PIN,BAYUGAN CITY
Barangay,POBLACION,POB,BAYUGAN CITY
Barangay,SAGMONE,SAG,BAYUGAN CITY
Barangay,SAGUMA,SA1,BAYUGAN CITY
Barangay,SALVACION,SAL,BAYUGAN CITY
Barangay,SAN AGUSTIN,SAN,BAYUGAN CITY
Barangay,SAN ISIDRO,SIN,BAYUGAN CITY
Barangay,SAN JUAN,SJN,BAYUGAN CITY
Barangay,SANTA IRENE,SI1,BAYUGAN CITY
Barangay,SANTA TERESITA,STN,BAYUGAN CITY
Barangay,SANTO NIÃ‘O,SNN,BAYUGAN CITY
Barangay,TAGLATAWAN,TAG,BAYUGAN CITY
Barangay,TAGLIBAS,TA1,BAYUGAN CITY
Barangay,TAGUBAY,TA2,BAYUGAN CITY
Barangay,VERDU,VER,BAYUGAN CITY
Barangay,VILLA UNDAYON,VUL,BAYUGAN CITY
Barangay,WAWA,WAW,BAYUGAN CITY
Municipality,BUNAWAN,BUN,AGUSAN DEL SUR
Barangay,BUNAWAN BROOK,BBN,BUNAWAN
Barangay,CONSUELO,CON,BUNAWAN
Barangay,IMELDA,IME,BUNAWAN
Barangay,LIBERTAD,LIB,BUNAWAN
Barangay,MAMBALILI,MAM,BUNAWAN
Barangay,NUEVA ERA,NEE,BUNAWAN
Barangay,POBLACION,POB,BUNAWAN
Barangay,SAN ANDRES,SAN,BUNAWAN
Barangay,SAN MARCOS,SMN,BUNAWAN
Barangay,SAN TEODORO,STN,BUNAWAN
Municipality,ESPERANZA,ESP,AGUSAN DEL SUR
Barangay,AGSABU,AGS,ESPERANZA
Barangay,AGUINALDO,AGU,ESPERANZA
Barangay,ANOLINGAN,ANO,ESPERANZA
Barangay,BAKINGKING,BAK,ESPERANZA
Barangay,BALUBO,BAL,ESPERANZA
Barangay,BENTAHON,BEN,ESPERANZA
Barangay,BUNAGUIT,BUN,ESPERANZA
Barangay,CATMONON,CAT,ESPERANZA
Barangay,CEBULAN,CEB,ESPERANZA
Barangay,CONCORDIA,CON,ESPERANZA
Barangay,CROSSING LUNA,CLO,ESPERANZA
Barangay,CUBO,CUB,ESPERANZA
Barangay,DAKUTAN,DAK,ESPERANZA
Barangay,DUANGAN,DUA,ESPERANZA
Barangay,GUADALUPE,GUA,ESPERANZA
Barangay,GUIBONON,GUI,ESPERANZA
Barangay,HAWILIAN,HAW,ESPERANZA
Barangay,KALABUAN,KAL,ESPERANZA
Barangay,KINAMAYBAY,KIN,ESPERANZA
Barangay,LABAO,LAB,ESPERANZA
Barangay,LANGAG,LAN,ESPERANZA
Barangay,MAASIN,MAA,ESPERANZA
Barangay,MAC-ARTHUR,MAC,ESPERANZA
Barangay,MAHAGCOT,MAH,ESPERANZA
Barangay,MALIWANAG,MAL,ESPERANZA
Barangay,MILAGROS,MIL,ESPERANZA
Barangay,NATO,NAT,ESPERANZA
Barangay,NEW GINGOOG,NGW,ESPERANZA
Barangay,ODIONG,ODI,ESPERANZA
Barangay,ORO,ORO,ESPERANZA
Barangay,PIGLAWIGAN,PIG,ESPERANZA
Barangay,POBLACION,POB,ESPERANZA
Barangay,REMEDIOS,REM,ESPERANZA
Barangay,SALUG,SAL,ESPERANZA
