Level,Name,Code,Parent
Barangay,SINOBONG,SIN,VERUELA
Barangay,SISIMON,SIS,VERUELA
Province,DINAGAT ISLANDS,DIN,Region XIII
Municipality,BASILISA (RIZAL),BAS,DINAGAT ISLANDS
Barangay,BENGLEN,BEN,BASILISA (RIZAL)
Barangay,CATADMAN,CAT,BASILISA (RIZAL)
Barangay,COLUMBUS,COL,BASILISA (RIZAL)
Barangay,CORING,COR,BASILISA (RIZAL)
Barangay,CORTES,CO1,BASILISA (RIZAL)
Barangay,DIEGAS,DIE,BASILISA (RIZAL)
Barangay,DOÃ‘A HELENE,DHA,BASILISA (RIZAL)
Barangay,EDERA,EDE,BASILISA (RIZAL)
Barangay,FERDINAND,FER,BASILISA (RIZAL)
Barangay,GEOTINA,GEO,BASILISA (RIZAL)
Barangay,IMEE (BACTASAN),IME,BASILISA (RIZAL)
Barangay,MELGAR,MEL,BASILISA (RIZAL)
